ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-02T09:00:00.682230585Z,2025-01-02T09:00:00.682063963Z,10,2,16244,A,A,7,460,10,130,166622,289884,407.2,410.4,500,500,1,1,405.8,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,445,100,10,1,1,396.12,455.58,1,50,1,1,376.27,460,5,10,1,1,376.17,489.96,5,100,1,1,367.93,960,24,25,1,1,TSLA
2025-01-02T09:00:00.727825822Z,2025-01-02T09:00:00.727659255Z,10,2,38,A,B,0,248.18,399,130,166567,290013,248.18,271.27,399,4,1,1,236.33,296.36,40,3,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.727907549Z,2025-01-02T09:00:00.727741030Z,10,2,38,A,A,0,254.7,399,130,166519,290014,248.18,254.7,399,399,1,1,236.33,271.27,40,4,1,1,,296.36,0,3,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.743706313Z,2025-01-02T09:00:00.743540363Z,10,2,16244,C,A,0,410.4,500,130,165950,290135,407.2,414.19,500,247,1,1,405.8,418.37,500,1,1,1,405.1,432.68,500,1,1,1,403.55,436.45,247,175,1,1,400.14,445,1,10,1,1,400,455.58,100,50,1,1,396.12,460,1,10,1,1,376.27,489.96,5,100,1,1,376.17,960,5,25,1,1,367.93,,24,0,1,0,TSLA
2025-01-02T09:00:00.755303610Z,2025-01-02T09:00:00.755137069Z,10,2,16244,A,A,4,442.88,3,130,166541,290165,407.2,414.19,500,247,1,1,405.8,418.37,500,1,1,1,405.1,432.68,500,1,1,1,403.55,436.45,247,175,1,1,400.14,442.88,1,3,1,1,400,445,100,10,1,1,396.12,455.58,1,50,1,1,376.27,460,5,10,1,1,376.17,489.96,5,100,1,1,367.93,960,24,25,1,1,TSLA
2025-01-02T09:00:00.756163600Z,2025-01-02T09:00:00.755996981Z,10,2,16244,A,A,0,410.6,500,130,166619,290171,407.2,410.6,500,500,1,1,405.8,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,367.93,489.96,24,100,1,1,TSLA
2025-01-02T09:00:00.813335273Z,2025-01-02T09:00:00.813169052Z,10,2,16244,C,A,0,410.6,500,130,166221,290329,407.2,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,367.93,489.96,24,100,1,1,350,960,11,25,1,1,TSLA
2025-01-02T09:00:00.849718938Z,2025-01-02T09:00:00.849552666Z,10,2,16244,A,B,1,405.8,500,130,166272,290456,407.2,414.19,500,247,1,1,405.8,418.37,500,1,1,1,405.1,432.68,500,1,1,1,403.55,436.45,247,175,1,1,400.14,442.88,1,3,1,1,400,445,100,10,1,1,396.12,455.58,1,50,1,1,376.27,460,5,10,1,1,376.17,489.96,5,100,1,1,367.93,960,24,25,1,1,TSLA
2025-01-02T09:00:00.859330921Z,2025-01-02T09:00:00.859164183Z,10,2,16244,A,A,0,411.4,500,130,166738,290482,407.2,411.4,500,500,1,1,405.8,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,367.93,489.96,24,100,1,1,TSLA
2025-01-02T09:00:00.882366567Z,2025-01-02T09:00:00.882200217Z,10,2,16244,A,A,0,410.6,500,130,166350,290597,407.2,410.6,500,500,1,1,405.8,411.4,500,500,1,1,405.1,414.19,500,247,1,1,403.55,418.37,247,1,1,1,400.14,432.68,1,1,1,1,400,436.45,100,175,1,1,396.12,442.88,1,3,1,1,376.27,445,5,10,1,1,376.17,455.58,5,50,1,1,367.93,460,24,10,1,1,TSLA
